Product,Product Code,Reported Short Positions,Total Product in Issue,% of Total Product in Issue Reported as Short Positions
LEOLITHIUMLIMITED ORDINARY,LLL,8425493,1198927409,.70275256
LEPIDICO LTD ORDINARY,LPD,3780629,8589185401,.04401615
LGILIMITED ORDINARY,LGI,2,88808771,.00000225
LIFE360 INC. CDI 3:1 FOR. EXEMPT,360,347884,183800139,.18927298
LIFESTYLE COMMUNIT. ORDINARY,LIC,9106486,121740054,7.48027104
LIGHT & WONDER INC. CDI1:1FOREXEMPT XNGS,LNW,85300,25466884,.33494479
LINDIAN RESOURCES ORDINARY,LIN,1526256,1152922236,.13238152
LINDSAY AUSTRALIA ORDINARY,LAU,677297,314840294,.21512399
LIONTOWN RESOURCES ORDINARY,LTR,237578416,2425108140,9.79661121
LIVETILES LIMITED ORDINARY,LVT,838016,1177110622,.07119263
LOTUS RESOURCES LTD ORDINARY,LOT,104722955,2101222748,4.98390545
LOVISA HOLDINGS LTD ORDINARY,LOV,4862206,110715589,4.39161824
LTR PHARMA LIMITED ORDINARY,LTP,37188,84789050,.04385944
LYNAS RARE EARTHS ORDINARY,LYC,89509932,934718185,9.57614107
MA FINANCIAL GROUP ORDINARY,MAF,5240712,181342954,2.8899452
MAAS GROUP HOLDINGS ORDINARY,MGH,2285375,330237282,.69204028
MACH7 TECH LIMITED ORDINARY,M7T,275303,241241047,.11411947
MACMAHON HOLDINGS ORDINARY,MAH,100967,2154985818,.00468527
MACQUARIE GROUP LTD ORDINARY,MQG,2515297,381138415,.65994319
MACQUARIE TECHNOLOGY ORDINARY,MAQ,91093,25773732,.35343349
MADER GROUP LIMITED ORDINARY,MAD,1884009,201875000,.93325523
